movie_id,actor_name
4.3.2.1,Noel Clarke|Shanika Warren-Markland|Ophelia Lovibond|Tamsin Egerton|Emma Roberts|Kevin Smith|Mandy Patinkin
400_Days_(film),Brandon Routh|Dane Cook|Ben Feldman (actor)|Caity Lotz
40_Days_and_40_Nights,Shannyn Sossamon|Paulo Costanzo|Maggie Gyllenhaal|Keegan Connor Tracy|Josh Hartnett|Vinessa Shaw
40_Days_and_Nights,Alex Carter (Canadian actor)|Monica Keena
40_Guns_to_Apache_Pass,Audie Murphy|Kenneth Tobey
40_Pounds_of_Trouble,Suzanne Pleshette|Larry Storch|Tony Curtis
41_(film),NOT_FOUND
42_(film),Ryan Merriman|Christopher Meloni|Lucas Black|Chadwick Boseman|Harrison Ford|Nicole Beharie|Hamish Linklater|Andre Holland
42nd_Street_(film),Ginger Rogers|Ruby Keeler|Warner Baxter|Dick Powell
44_Inch_Chest,Joanne Whalley|Ray Winstone|Stephen Dillane|John Hurt|Ian McShane|Tom Wilkinson
44_Minutes:_The_North_Hollywood_Shoot-Out,Michael Madsen|Ron Livingston
45365,NOT_FOUND
45_Years,Tom Courtenay|Charlotte Rampling
47_Ronin_(1994_film),Ken Takakura|Kiichi Nakai
47_Ronin_(2013_film),Keanu Reeves|Hiroyuki Sanada
48_Hrs.,Nick Nolte|Annette O'Toole|Eddie Murphy
49th_Parallel_(film),Raymond Massey|Laurence Olivier|Anton Walbrook|Leslie Howard (actor)|Eric Portman
4:44_Last_Day_on_Earth,Willem Dafoe
4D_Man,Robert Lansing (actor)|Lee Meriwether
4_(2005_film),Sergei Shnurov
4_(2007_film),Cho-Liang Lin|Pekka Kuusisto|Sayaka Shoji
4_Days_in_May,NOT_FOUND
4_Little_Girls,NOT_FOUND
4_Minute_Mile,Kelly Blatz|Richard Jenkins|Cam Gigandet|Analeigh Tipton|Kim Basinger
"4_Months,_3_Weeks_and_2_Days",Anamaria Marinca|Vlad Ivanov|Alexandru Potocean|Luminița Gheorghiu
4_for_Texas,Charles Bronson|Frank Sinatra|Ursula Andress|Dean Martin|Anita Ekberg|The Three Stooges
4bia,Laila Boonyasak|Apinya Sakuljaroensuk
4th_Man_Out,Chord Overstreet|Parker Young
4th_Period_Mystery,Kang So-ra|Yoo Seung-ho
4x4_(film),NOT_FOUND
50/50_(1982_film),Pia Borgli
50/50_(2011_film),Seth Rogen|Philip Baker Hall|Joseph Gordon-Levitt|Anna Kendrick|Anjelica Huston|Bryce Dallas Howard
50_Children:_The_Rescue_Mission_of_Mr._and_Mrs._Kraus,Mamie Gummer
50_First_Dates,Adam Sandler|Drew Barrymore|Dan Aykroyd|Rob Schneider|Sean Astin
50_Ways_of_Saying_Fabulous,NOT_FOUND
50_to_1,Christian Kane|Calvin Borel|Skeet Ulrich|William Devane
5150_Elm's_Way,René-Daniel Dubois|Marc-André Grondin
51_(film),Rachel Miner|John Shea|Vanessa Branch|Bruce Boxleitner|Jason London
51_Birch_Street,Doug Block
52_Pick-Up,Roy Scheider|Vanity (singer)|Clarence Williams III|Ann-Margret|John Glover (actor)
52_Tuesdays,Tilda Cobham-Hervey
54_(film),Sela Ward|Mike Myers|Ryan Phillippe|Breckin Meyer|Neve Campbell|Salma Hayek
54_Days,NOT_FOUND
55_Days_at_Peking,Charlton Heston|Kurt Kasznar|Robert Helpmann|Flora Robson|Leo Genn|David Niven|John Ireland (actor)|Ava Gardner|Paul Lukas
588_rue_paradis,Nathalie Roussel|Richard Berry (actor)|Omar Sharif|Claudia Cardinale|Isabelle Sadoyan
5_Against_the_House,Brian Keith|Kim Novak|Guy Madison
5_Broken_Cameras,NOT_FOUND
5_Card_Stud,Dean Martin|Inger Stevens|Robert Mitchum
5_Card_Stud_(2002_film),Khrystyne Haje
5_Days_of_War,Dean Cain|Val Kilmer|Emmanuelle Chriqui|Andy García|Antje Traue|Heather Graham|Mikko Nousiainen|Johnathon Schaech|Rade Šerbedžija|Richard Coyle|Rupert Friend
5_Fingers,Danielle Darrieux|James Mason|Michael Rennie
5_Flights_Up,Diane Keaton
5_Steps_to_Danger,Sterling Hayden|Ruth Roman
5_Sundarikal,Asmita Sood|Biju Menon|Nivin Pauly|Fahadh Faasil|Dulquer Salmaan|Kavya Madhavan|Isha Sharvani|Reenu Mathews|Anikha
5_to_7,Anton Yelchin|Frank Langella|Lambert Wilson|Bérénice Marlohe|Glenn Close|Olivia Thirlby
5x2,Valeria Bruni Tedeschi|Stéphane Freiss
"6,000_Enemies",Walter Pidgeon|Rita Johnson
6-5=2,NOT_FOUND
600_Miles,Tim Roth
61*,Thomas Jane|Barry Pepper
633_Squadron,George Chakiris|Cliff Robertson
638_Ways_to_Kill_Castro,NOT_FOUND
65_Redroses,Eva Markvoort
69_(film),Masanobu Ando|Yuta Kanai|Satoshi Tsumabuki|Asami Mizukawa
6_Years,Lindsay Burdge|Ben Rosenfield|Joshua Leonard|Peter Vack|Taissa Farmiga|Dana Wheeler-Nicholson
711_Ocean_Drive,Joanne Dru|Edmond O'Brien|Otto Kruger
71:_Into_the_Fire,Kim Seung-woo|Kwon Sang-woo|Cha Seung-won|T.O.P (entertainer)
71_Fragments_of_a_Chronology_of_Chance,Udo Samel
72_Meters,Andrey Krasko|Sergei Makovetsky|Marat Basharov
72_Tenants_of_Prosperity,Jacky Cheung|Anita Yuen|Dicky Cheung|Charmaine Sheh|Stephy Tang|Wayne Lai|Kate Tsui|Raymond Lam|Eric Tsang|Linda Chung|Bosco Wong|Wong Cho Lam|Michael Tse|Bernice Liu
7:19,Demián Bichir
7G_Rainbow_Colony,Ravi Krishna|Suman Setty|Sonia Agarwal
